PathParameter	MeanPathLikelihood	MLContribution
0.0000	-14754	-0.032558
2.1715e-06	-15232	-0.29884
2.1888e-05	-15082	-0.91243
8.4561e-05	-14035	-1.8990
0.00022061	-13880	-3.3002
0.00046416	-13221	-5.1143
0.00085232	-13130	-7.2945
0.0014248	-12353	-9.7577
0.0022237	-12077	-12.690
0.0032929	-11660	-15.893
0.0046784	-11282	-19.622
0.0064280	-11149	-23.705
0.0085909	-10771	-28.004
0.011218	-10549	-32.847
0.014361	-10349	-38.059
0.018075	-10149	-43.666
0.022413	-9981.4	-49.489
0.027432	-9737.7	-55.701
0.033190	-9610.4	-62.482
0.039745	-9454.9	-69.455
0.047156	-9288.9	-76.111
0.055484	-8989.7	-82.792
0.064790	-8802.6	-89.764
0.075138	-8546.7	-96.950
0.086591	-8383.8	-104.29
0.099213	-8140.8	-111.68
0.11307	-7978.0	-119.62
0.12823	-7804.9	-127.11
0.14475	-7578.3	-134.57
0.16271	-7405.6	-142.40
0.18218	-7224.2	-149.63
0.20322	-6998.5	-157.53
0.22591	-6888.9	-167.25
0.25031	-6818.6	-177.19
0.27650	-6712.7	-186.70
0.30455	-6599.0	-196.97
0.33454	-6539.5	-208.41
0.36653	-6489.8	-220.06
0.40060	-6426.6	-232.05
0.43683	-6382.3	-244.84
0.47530	-6347.8	-257.95
0.51608	-6304.1	-271.63
0.55924	-6281.8	-285.97
0.60487	-6252.4	-300.86
0.65304	-6237.9	-316.41
0.70384	-6219.6	-332.32
0.75734	-6203.1	-348.77
0.81363	-6189.9	-365.83
0.87278	-6179.7	-383.34
0.93488	-6167.0	-401.24
1.0000	-6155.1	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -6770.422685642966

Inner area for path parameter in (2.1715e-06,0.93488) = -6770.4
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-11507	-0.032031
2.1715e-06	-11469	-0.29956
2.1888e-05	-11279	-0.93553
8.4561e-05	-10979	-1.8867
0.00022061	-10843	-3.3171
0.00046416	-10725	-5.0416
0.00085232	-10863	-7.3759
0.0014248	-10542	-9.6987
0.0022237	-10541	-12.666
0.0032929	-10277	-15.934
0.0046784	-10174	-19.474
0.0064280	-10113	-23.782
0.0085909	-9886.5	-28.009
0.011218	-9876.6	-32.849
0.014361	-9617.1	-38.042
0.018075	-9442.0	-43.598
0.022413	-9424.8	-49.706
0.027432	-9091.0	-55.530
0.033190	-9046.7	-62.424
0.039745	-8999.1	-69.449
0.047156	-8784.1	-76.530
0.055484	-8559.4	-82.794
0.064790	-8377.1	-89.897
0.075138	-8046.3	-96.476
0.086591	-7950.8	-104.77
0.099213	-7727.2	-111.57
0.11307	-7693.7	-119.80
0.12823	-7496.1	-127.83
0.14475	-7330.0	-135.09
0.16271	-7148.5	-142.50
0.18218	-6999.9	-150.69
0.20322	-6808.1	-157.57
0.22591	-6682.3	-166.88
0.25031	-6619.5	-177.62
0.27650	-6542.4	-187.02
0.30455	-6490.8	-197.21
0.33454	-6415.2	-208.45
0.36653	-6386.6	-220.32
0.40060	-6325.6	-232.05
0.43683	-6291.6	-244.75
0.47530	-6272.1	-258.26
0.51608	-6233.9	-271.58
0.55924	-6219.6	-286.07
0.60487	-6189.5	-300.78
0.65304	-6181.6	-316.45
0.70384	-6171.5	-332.40
0.75734	-6147.3	-348.75
0.81363	-6149.5	-365.79
0.87278	-6141.3	-383.39
0.93488	-6128.9	-401.32
1.0000	-6118.6	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -6774.649743685031
