PathParameter	MeanPathLikelihood	MLContribution
0.0000	-14268	-0.030846
2.1715e-06	-14142	-0.28221
2.1888e-05	-14486	-0.89998
8.4561e-05	-14234	-1.9065
0.00022061	-13792	-3.3172
0.00046416	-13449	-5.0535
0.00085232	-12589	-7.0937
0.0014248	-12193	-9.5653
0.0022237	-11756	-12.421
0.0032929	-11478	-15.665
0.0046784	-11134	-19.276
0.0064280	-10901	-23.380
0.0085909	-10718	-27.859
0.011218	-10492	-32.600
0.014361	-10250	-37.835
0.018075	-10127	-43.505
0.022413	-9929.2	-49.425
0.027432	-9764.5	-55.614
0.033190	-9553.5	-62.304
0.039745	-9457.5	-69.164
0.047156	-9207.9	-76.004
0.055484	-9044.8	-83.126
0.064790	-8819.1	-90.257
0.075138	-8625.6	-97.357
0.086591	-8376.1	-104.66
0.099213	-8207.4	-112.44
0.11307	-8022.1	-119.72
0.12823	-7774.7	-127.16
0.14475	-7614.1	-134.19
0.16271	-7327.3	-141.34
0.18218	-7193.8	-149.55
0.20322	-7021.2	-157.76
0.22591	-6887.3	-166.61
0.25031	-6768.2	-176.37
0.27650	-6700.1	-186.72
0.30455	-6613.2	-197.15
0.33454	-6537.4	-208.26
0.36653	-6482.1	-219.94
0.40060	-6427.1	-232.00
0.43683	-6379.3	-244.96
0.47530	-6357.1	-258.24
0.51608	-6308.8	-271.75
0.55924	-6282.5	-286.24
0.60487	-6263.8	-301.35
0.65304	-6247.1	-316.81
0.70384	-6226.0	-332.63
0.75734	-6208.4	-348.99
0.81363	-6192.5	-366.06
0.87278	-6185.0	-383.67
0.93488	-6172.3	-401.81
1.0000	-6167.3	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -6770.32090581661

Inner area for path parameter in (2.1715e-06,0.93488) = -6770.3
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-10816	-0.030974
2.1715e-06	-10703	-0.27812
2.1888e-05	-11037	-0.90037
8.4561e-05	-10814	-1.9072
0.00022061	-10829	-3.3104
0.00046416	-10807	-5.1160
0.00085232	-10593	-7.0880
0.0014248	-10461	-9.5781
0.0022237	-10311	-12.383
0.0032929	-10282	-15.680
0.0046784	-10167	-19.258
0.0064280	-10090	-23.359
0.0085909	-9806.2	-27.880
0.011218	-9652.8	-32.685
0.014361	-9467.8	-37.700
0.018075	-9516.7	-43.570
0.022413	-9332.5	-49.406
0.027432	-9220.2	-55.725
0.033190	-9039.9	-62.068
0.039745	-9021.7	-69.559
0.047156	-8784.1	-75.967
0.055484	-8646.2	-83.213
0.064790	-8446.5	-90.454
0.075138	-8185.5	-97.663
0.086591	-8041.2	-104.78
0.099213	-7866.7	-112.67
0.11307	-7720.9	-120.57
0.12823	-7406.3	-126.61
0.14475	-7337.9	-135.15
0.16271	-7084.8	-141.37
0.18218	-6997.3	-150.17
0.20322	-6805.2	-158.32
0.22591	-6683.0	-166.63
0.25031	-6577.9	-175.94
0.27650	-6566.4	-187.07
0.30455	-6496.6	-197.41
0.33454	-6398.2	-208.11
0.36653	-6363.4	-219.91
0.40060	-6336.5	-232.25
0.43683	-6278.9	-244.71
0.47530	-6270.9	-258.62
0.51608	-6223.5	-271.70
0.55924	-6217.2	-286.15
0.60487	-6196.1	-301.26
0.65304	-6179.7	-316.83
0.70384	-6176.2	-332.69
0.75734	-6151.1	-349.00
0.81363	-6149.3	-365.94
0.87278	-6144.1	-383.72
0.93488	-6138.3	-401.68
1.0000	-6132.5	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -6774.040297832351
