PathParameter	MeanPathLikelihood	MLContribution
0.0000	-77998	-0.16965
2.1715e-06	-78251	-1.5266
2.1888e-05	-76604	-4.5968
8.4561e-05	-70088	-9.1716
0.00022061	-64736	-15.183
0.00046416	-59947	-22.718
0.00085232	-57105	-32.277
0.0014248	-55653	-44.167
0.0022237	-54926	-57.790
0.0032929	-53172	-72.941
0.0046784	-52116	-90.393
0.0064280	-51215	-109.58
0.0085909	-50108	-130.27
0.011218	-49066	-152.64
0.014361	-48048	-176.19
0.018075	-46846	-199.76
0.022413	-45245	-224.08
0.027432	-44040	-249.73
0.033190	-42705	-275.01
0.039745	-41209	-301.97
0.047156	-40284	-332.39
0.055484	-39540	-365.39
0.064790	-38982	-401.28
0.075138	-38575	-440.11
0.086591	-38282	-481.85
0.099213	-38069	-526.13
0.11307	-37870	-572.93
0.12823	-37726	-622.58
0.14475	-37620	-674.93
0.16271	-37532	-729.95
0.18218	-37462	-787.31
0.20322	-37373	-847.24
0.22591	-37319	-909.99
0.25031	-37264	-975.33
0.27650	-37218	-1043.3
0.30455	-37172	-1113.9
0.33454	-37127	-1187.0
0.36653	-37082	-1262.6
0.40060	-37030	-1341.0
0.43683	-36991	-1422.3
0.47530	-36961	-1506.4
0.51608	-36926	-1593.4
0.55924	-36903	-1683.3
0.60487	-36879	-1776.2
0.65304	-36860	-1871.9
0.70384	-36841	-1970.7
0.75734	-36828	-2072.4
0.81363	-36811	-2177.1
0.87278	-36801	-2284.5
0.93488	-36780	-2395.1
1.0000	-36774	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -37538.79416243876

Inner area for path parameter in (2.1715e-06,0.93488) = -37539
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-56563	-0.16887
2.1715e-06	-55066	-1.5083
2.1888e-05	-55232	-4.5540
8.4561e-05	-55442	-9.0729
0.00022061	-54442	-15.169
0.00046416	-53505	-22.677
0.00085232	-52501	-32.129
0.0014248	-52426	-43.938
0.0022237	-51508	-58.040
0.0032929	-50514	-72.817
0.0046784	-49686	-90.337
0.0064280	-48868	-109.58
0.0085909	-47978	-130.22
0.011218	-47140	-152.32
0.014361	-46234	-176.03
0.018075	-44906	-200.60
0.022413	-43520	-223.92
0.027432	-42457	-249.84
0.033190	-41430	-276.31
0.039745	-40051	-302.36
0.047156	-39217	-331.98
0.055484	-38867	-365.93
0.064790	-38334	-401.03
0.075138	-38075	-440.21
0.086591	-37805	-481.88
0.099213	-37688	-526.20
0.11307	-37605	-573.01
0.12823	-37444	-622.39
0.14475	-37406	-674.97
0.16271	-37336	-729.88
0.18218	-37288	-787.43
0.20322	-37194	-847.18
0.22591	-37177	-910.00
0.25031	-37129	-975.25
0.27650	-37084	-1043.4
0.30455	-37064	-1114.0
0.33454	-36991	-1186.9
0.36653	-36966	-1262.7
0.40060	-36934	-1341.0
0.43683	-36899	-1422.2
0.47530	-36881	-1506.5
0.51608	-36853	-1593.4
0.55924	-36821	-1683.2
0.60487	-36807	-1776.2
0.65304	-36800	-1872.0
0.70384	-36784	-1970.6
0.75734	-36778	-2072.4
0.81363	-36764	-2177.0
0.87278	-36754	-2284.8
0.93488	-36728	-2394.9
1.0000	-36738	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -37540.06651051847
