PathParameter	MeanPathLikelihood	MLContribution
0.0000	-79541	-0.16844
2.1715e-06	-75589	-1.4914
2.1888e-05	-75702	-4.5815
8.4561e-05	-70501	-9.1788
0.00022061	-64429	-15.088
0.00046416	-59473	-22.595
0.00085232	-56948	-32.161
0.0014248	-55407	-44.020
0.0022237	-54806	-57.726
0.0032929	-53172	-72.851
0.0046784	-51986	-90.092
0.0064280	-51001	-109.30
0.0085909	-50071	-129.88
0.011218	-48807	-152.16
0.014361	-48006	-175.63
0.018075	-46587	-199.68
0.022413	-45470	-224.32
0.027432	-43913	-248.93
0.033190	-42556	-274.62
0.039745	-41238	-302.55
0.047156	-40412	-333.22
0.055484	-39613	-365.57
0.064790	-38949	-401.15
0.075138	-38584	-440.03
0.086591	-38260	-481.83
0.099213	-38088	-526.08
0.11307	-37844	-572.93
0.12823	-37753	-622.76
0.14475	-37615	-674.96
0.16271	-37540	-729.81
0.18218	-37440	-787.16
0.20322	-37380	-847.34
0.22591	-37321	-910.05
0.25031	-37267	-975.41
0.27650	-37221	-1043.4
0.30455	-37175	-1114.1
0.33454	-37137	-1187.2
0.36653	-37083	-1262.8
0.40060	-37040	-1341.4
0.43683	-37006	-1422.8
0.47530	-36971	-1506.9
0.51608	-36937	-1593.8
0.55924	-36910	-1683.7
0.60487	-36887	-1776.6
0.65304	-36868	-1872.4
0.70384	-36851	-1971.0
0.75734	-36831	-2072.6
0.81363	-36817	-2177.3
0.87278	-36804	-2285.0
0.93488	-36791	-2395.7
1.0000	-36782	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -37542.0845799512

Inner area for path parameter in (2.1715e-06,0.93488) = -37542
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-56632	-0.17214
2.1715e-06	-56045	-1.4571
2.1888e-05	-55534	-4.5255
8.4561e-05	-54923	-9.0973
0.00022061	-53154	-15.043
0.00046416	-52877	-22.557
0.00085232	-52034	-32.033
0.0014248	-51997	-43.686
0.0022237	-51287	-57.852
0.0032929	-50710	-72.955
0.0046784	-49520	-90.175
0.0064280	-48813	-109.07
0.0085909	-47943	-130.10
0.011218	-47190	-152.10
0.014361	-46545	-176.76
0.018075	-44912	-199.76
0.022413	-43962	-225.22
0.027432	-42638	-250.04
0.033190	-41004	-274.91
0.039745	-40165	-302.47
0.047156	-39370	-332.58
0.055484	-38623	-365.14
0.064790	-38325	-400.96
0.075138	-38072	-440.20
0.086591	-37800	-481.47
0.099213	-37624	-525.93
0.11307	-37457	-572.46
0.12823	-37490	-623.04
0.14475	-37400	-674.87
0.16271	-37318	-729.88
0.18218	-37281	-787.08
0.20322	-37217	-847.38
0.22591	-37180	-910.06
0.25031	-37144	-975.42
0.27650	-37111	-1043.5
0.30455	-37023	-1113.9
0.33454	-36999	-1187.3
0.36653	-36964	-1262.8
0.40060	-36946	-1341.3
0.43683	-36923	-1422.7
0.47530	-36880	-1506.9
0.51608	-36857	-1593.7
0.55924	-36841	-1683.7
0.60487	-36826	-1776.5
0.65304	-36804	-1872.4
0.70384	-36794	-1971.1
0.75734	-36769	-2072.5
0.81363	-36767	-2177.3
0.87278	-36754	-2285.1
0.93488	-36750	-2395.6
1.0000	-36745	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -37542.712303122455
