FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
22	29	0.829079948847828	0.1022108654593934
22	35	65541.47347798174	1.0
22	44	4.3356140338843385	0.3731807576935896
22	49	0.875517712504202	0.10732140873236307
22	53	0.752519165126913	0.09365626041550938
22	56	22.52605237720728	0.755693811798689
22	72	4.981179233666831	0.4061770914342851
22	North	0.6735256812481392	0.08465726030441062
29	35	1.2782456191781342	0.1493167425841573
29	44	0.7623803643256444	0.09476724808354628
29	49	0.6735256812481392	0.08465726030441062
29	53	4.59884586223044	0.38706810354405063
29	56	0.9410183816659408	0.11443172980779913
29	72	1.1073178675406496	0.13198533496278192
29	North	0.9461799460167223	0.11498722364181757
35	44	6.9921689064186925	0.4898344628374625
35	49	49.22516221656555	0.8711254305077214
35	53	35.92707738294153	0.8314631707588046
35	56	1.5338555998884742	0.17398066881457616
35	72	1.6285379111730214	0.18275747139206755
35	North	1.006531086824123	0.12143095211643151
44	49	1.188634459129625	0.14031774247305856
44	53	0.9877068997791041	0.11943117431396512
44	56	1.3175557877219821	0.15320519942228641
44	72	1.1374927816918523	0.13509610043328518
44	North	1.0096767858862954	0.12176424841684258
49	53	0.6609921316720103	0.08321297633596267
49	56	0.7564607423195185	0.09410065548272414
49	72	0.6264890415836699	0.07921342073102988
49	North	0.6226738582823758	0.07876902566381513
53	56	1.5090244474770413	0.1716475947116987
53	72	1.6309613334882709	0.18297966892567494
53	North	1.2514971284258551	0.1466503721808688
56	72	4.725079869309635	0.3935118320186646
56	North	0.7821755570085303	0.09698922341962005
72	North	45.664912817237536	0.8624597266970336
29	22	0.9358632886847064	0.11387623597378069
35	22	1.8558764118185707	0.20308854571714255
44	22	1.4749628708177478	0.16842573047439174
49	22	0.8150514717049178	0.10065548272414176
53	22	1.8788657510734579	0.20508832351960893
56	22	5.7907604209714725	0.442950783246306
72	22	41.416541148591506	0.8504610598822353
North	22	1.376630684676474	0.15898233529607822
35	29	12.473116126697308	0.6313742917453616
44	29	1.0901719662821696	0.1302077546939229
49	29	0.6226738582823758	0.07876902566381513
53	29	2.84879734454406	0.28119097878013555
56	29	2614.6678486153696	0.9972225308299077
72	29	2.613259568860535	0.2640817686923675
North	29	7.6796674394057245	0.5132763026330408
44	35	1.0328184045610995	0.12420842128652372
49	35	0.6629177990838092	0.08343517386957004
53	35	1.6067862662913965	0.18075769358960114
56	35	1.5220137710880877	0.17286968114653928
72	35	13.93080365797977	0.6567048105766026
North	35	1.0976646670438635	0.13098544606154872
49	44	169.87641369025772	0.9588934562826352
53	44	1.3243309518998088	0.15387179202310855
56	44	1.001293555528266	0.12087545828241307
72	44	0.49142286539344954	0.06321519831129875
North	44	0.8391300862420134	0.10332185312743028
53	49	1.328853661775741	0.1543161870903233
56	49	0.45380618168011294	0.058660148872347516
72	49	15.822568539472433	0.6848127985779358
North	49	1.09445186808832	0.13065214976113765
56	53	0.4978818163313425	0.06399288967892457
72	53	43.25636183281584	0.8559048994556161
North	53	1.1407386871366063	0.13542939673369625
72	56	0.689975510680784	0.08654593934007332
North	56	1.4226281169562918	0.16342628596822575
North	72	1.3175557877219821	0.15320519942228641
