# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Oct 09 15:51:42 BST 2024 [seed=1728485501363]
# -threads 4 H1avN2_HA_srd06_sc_cs_50m.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-12020.397207155824	-200.1330670862226	-11820.264140069601	4.166633917002928	2018.8278105274371	29.458236921661793	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	1.0	1.0	-11820.264140069601	0.0	-169.24128576549026
20000	-7298.402331768935	-343.94020549657273	-6954.462126272362	3.544888497238071	2019.4495559472018	46.2033397807651	3.9755726632545088	10.31529414618006	11.636278232613515	0.35042157426272563	0.18574050596761607	0.2046444553969424	0.2591934643727161	0.23212516255331497	0.08344193837813194	0.7428100756675788	0.257189924332422	1.1142151135013683	0.7715697729972659	0.009259008893062007	0.009259008893061997	-6954.462126272362	0.0	-340.0467039469383
40000	-6836.9697495500905	-389.1452833483847	-6447.824466201706	3.3553485644217687	2019.6390958800182	54.96964401852227	5.3401345527949395	10.268823711283346	7.720483159048283	0.36170346324257036	0.18767525169301577	0.2101827413575859	0.24043854370682832	0.314794358161442	0.11560975742791353	0.7450933802943024	0.2549066197056987	1.1176400704414535	0.7647198591170962	0.006029976663406693	0.006029976663406703	-6447.824466201706	0.0	-385.87120040700654
60000	-6705.195322716792	-410.21585224205006	-6294.979470474742	3.2910428635195994	2019.7034015809204	59.43193158644868	6.163485584870575	11.189678012151978	7.652750132276814	0.38677803054161697	0.16868904514390634	0.1931885544307427	0.2513443698837339	0.33574702628672665	0.11830434430503656	0.6812080274574108	0.3187919725425893	1.0218120411861162	0.9563759176277679	0.005464705574107733	0.005464705574107736	-6294.979470474742	0.0	-406.6993956343552
80000	-6575.775768690788	-443.2048122715834	-6132.570956419205	3.640325882404443	2019.3541185620356	67.77190901163243	7.689547473292904	11.253024645754591	11.346105573551	0.372410819579405	0.1847915052218207	0.2162389928854829	0.22655868231329127	0.33710153407275123	0.1415468599907599	0.7334058971996914	0.2665941028003102	1.1001088457995372	0.7997823084009306	0.0043459007053146875	0.004345900705314684	-6132.570956419205	0.0	-438.91330638567445
100000	-6483.506617696166	-451.6657642546808	-6031.840853441486	3.6391636339885918	2019.3552808104514	70.39189307352139	8.049289793401108	11.050739311031602	8.857045936783052	0.3677044745389832	0.18177707686215347	0.20753152145645823	0.24298692714240522	0.4583173465966828	0.07352448308211483	0.7903322327444592	0.20966776725554312	1.1854983491166888	0.6290033017666293	0.003989519376821395	0.003989519376821393	-6031.840853441486	0.0	-447.7866379559753
120000	-6449.360659860086	-445.7916959515942	-6003.568963908492	3.7938045965616145	2019.2006398478784	69.59444859593718	8.559937572178484	10.8102081901991	6.96382081429906	0.36258541106156467	0.16909650524579062	0.20506078469205208	0.2632572990005928	0.7530409210750229	0.08278178700034126	0.8031278338764452	0.1968721661235563	1.2046917508146677	0.5906164983706689	0.0038214162524561916	0.0038214162524561903	-6003.568963908492	0.0	-441.71919136712967
140000	-6466.892798830431	-452.7362403773473	-6014.156558453084	3.7915920114218338	2019.202852433018	70.27603811208795	7.764232259080062	12.709717832484017	4.706933588222713	0.3620381652661213	0.19354850592172762	0.20722806728341622	0.23718526152873504	0.5085148918308363	0.2426024674958583	0.7601284087732719	0.23987159122672863	1.1401926131599078	0.7196147736801859	0.004001192002763153	0.004001192002763153	-6014.156558453084	0.0	-449.16250047030576
160000	-6412.2558895786815	-450.8228148613454	-5961.433074717336	3.8705034309850124	2019.123941013455	70.4109667193516	8.362039807644823	8.738702642324	6.880657419113817	0.3597527462068536	0.19419817435236542	0.19332540827269537	0.2527236711680855	0.5073624950944551	0.26607684686703625	0.7343331286140894	0.2656668713859103	1.101499692921134	0.7970006141577308	0.003734527794781093	0.0037345277947810917	-5961.433074717336	0.0	-447.32419549393137
180000	-6442.113487433767	-478.58718532497255	-5963.526302108794	3.6429658969034837	2019.3514785475365	75.90101594667814	7.5245716600137165	11.787629188487193	8.020093886632946	0.36301294288752767	0.17051926572986117	0.21985476836739867	0.24661302301521212	0.6465005415337605	0.11653103755130077	0.7376888766567368	0.2623111233432631	1.106533314985105	0.7869333700297894	0.00332113310432179	0.003321133104321786	-5963.526302108794	0.0	-474.5185214084161
