PathParameter	MeanPathLikelihood	MLContribution
0.0000	-13395	-0.029212
2.1715e-06	-13509	-0.26811
2.1888e-05	-13688	-0.83966
8.4561e-05	-13107	-1.7001
0.00022061	-11886	-2.8290
0.00046416	-11346	-4.3397
0.00085232	-11014	-6.2583
0.0014248	-10849	-8.4639
0.0022237	-10342	-10.927
0.0032929	-10098	-13.886
0.0046784	-9946.3	-17.290
0.0064280	-9819.0	-21.050
0.0085909	-9646.2	-25.182
0.011218	-9525.6	-29.891
0.014361	-9492.6	-34.910
0.018075	-9309.7	-40.190
0.022413	-9218.1	-45.904
0.027432	-9072.9	-51.957
0.033190	-8974.8	-58.369
0.039745	-8835.5	-64.996
0.047156	-8705.0	-71.799
0.055484	-8537.8	-78.614
0.064790	-8356.4	-85.463
0.075138	-8161.7	-92.563
0.086591	-8002.8	-99.610
0.099213	-7780.8	-106.90
0.11307	-7648.2	-114.60
0.12823	-7472.4	-122.11
0.14475	-7306.3	-129.34
0.16271	-7095.7	-136.44
0.18218	-6921.8	-144.07
0.20322	-6771.8	-152.20
0.22591	-6646.3	-160.90
0.25031	-6541.4	-170.73
0.27650	-6496.3	-180.94
0.30455	-6404.9	-190.72
0.33454	-6316.8	-201.12
0.36653	-6256.1	-212.12
0.40060	-6194.6	-223.91
0.43683	-6164.9	-236.31
0.47530	-6121.8	-249.00
0.51608	-6091.1	-262.62
0.55924	-6077.3	-276.58
0.60487	-6045.6	-290.80
0.65304	-6027.1	-305.90
0.70384	-6016.7	-321.36
0.75734	-5996.4	-337.28
0.81363	-5988.2	-353.85
0.87278	-5976.4	-370.83
0.93488	-5967.3	-388.37
1.0000	-5959.6	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -6506.332479651932

Inner area for path parameter in (2.1715e-06,0.93488) = -6506.3
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-10107	-0.029075
2.1715e-06	-10457	-0.26563
2.1888e-05	-10249	-0.84880
8.4561e-05	-10194	-1.7547
0.00022061	-9673.5	-2.8496
0.00046416	-9574.9	-4.3288
0.00085232	-9553.2	-6.2064
0.0014248	-9524.1	-8.5429
0.0022237	-9168.0	-10.937
0.0032929	-9213.8	-13.861
0.0046784	-9163.1	-17.260
0.0064280	-9090.3	-21.077
0.0085909	-9083.9	-25.178
0.011218	-8973.5	-29.766
0.014361	-8952.0	-35.038
0.018075	-8800.5	-40.175
0.022413	-8710.5	-46.016
0.027432	-8589.1	-51.875
0.033190	-8588.9	-58.466
0.039745	-8459.3	-65.038
0.047156	-8305.5	-71.924
0.055484	-8076.6	-78.662
0.064790	-7969.6	-85.659
0.075138	-7874.7	-92.729
0.086591	-7613.0	-99.898
0.099213	-7429.6	-106.88
0.11307	-7325.7	-114.65
0.12823	-7163.4	-121.85
0.14475	-7017.7	-129.87
0.16271	-6834.7	-136.57
0.18218	-6617.1	-144.10
0.20322	-6570.2	-152.26
0.22591	-6445.5	-160.98
0.25031	-6358.7	-170.16
0.27650	-6343.9	-181.26
0.30455	-6249.0	-191.05
0.33454	-6217.9	-201.42
0.36653	-6150.5	-212.47
0.40060	-6104.3	-223.80
0.43683	-6075.1	-236.47
0.47530	-6035.7	-249.00
0.51608	-6021.2	-262.37
0.55924	-6016.2	-276.79
0.60487	-5990.4	-290.87
0.65304	-5979.8	-305.76
0.70384	-5964.2	-321.45
0.75734	-5956.2	-337.24
0.81363	-5942.5	-353.88
0.87278	-5931.0	-370.82
0.93488	-5935.8	-388.34
1.0000	-5918.8	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -6508.696518247763
