PathParameter	MeanPathLikelihood	MLContribution
0.0000	-12093	-0.026418
2.1715e-06	-12238	-0.23996
2.1888e-05	-12103	-0.74486
8.4561e-05	-11666	-1.5696
0.00022061	-11407	-2.7325
0.00046416	-11033	-4.2000
0.00085232	-10608	-5.9813
0.0014248	-10288	-8.1305
0.0022237	-10068	-10.623
0.0032929	-9803.0	-13.487
0.0046784	-9664.9	-16.751
0.0064280	-9484.0	-20.358
0.0085909	-9341.1	-24.442
0.011218	-9267.0	-28.950
0.014361	-9152.5	-33.887
0.018075	-9098.4	-39.254
0.022413	-8998.1	-44.916
0.027432	-8898.9	-51.103
0.033190	-8852.4	-57.703
0.039745	-8754.6	-64.719
0.047156	-8711.1	-72.156
0.055484	-8617.4	-79.684
0.064790	-8506.8	-87.546
0.075138	-8414.0	-95.643
0.086591	-8288.3	-102.53
0.099213	-7957.8	-108.33
0.11307	-7677.9	-115.34
0.12823	-7540.4	-123.24
0.14475	-7374.5	-130.83
0.16271	-7192.8	-137.76
0.18218	-6961.0	-145.02
0.20322	-6823.6	-153.59
0.22591	-6716.5	-162.17
0.25031	-6575.3	-170.90
0.27650	-6475.7	-180.48
0.30455	-6392.8	-190.79
0.33454	-6333.3	-201.80
0.36653	-6282.5	-213.26
0.40060	-6235.0	-224.97
0.43683	-6183.1	-237.10
0.47530	-6144.8	-249.55
0.51608	-6095.2	-262.92
0.55924	-6087.2	-277.09
0.60487	-6057.9	-291.17
0.65304	-6030.4	-305.94
0.70384	-6015.1	-321.55
0.75734	-6005.3	-337.56
0.81363	-5989.1	-354.05
0.87278	-5982.1	-371.01
0.93488	-5967.2	-388.36
1.0000	-5959.5	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -6522.1673886323315

Inner area for path parameter in (2.1715e-06,0.93488) = -6522.1
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-9296.1	-0.026252
2.1715e-06	-9288.4	-0.24056
2.1888e-05	-9104.6	-0.75126
8.4561e-05	-9345.1	-1.5662
0.00022061	-9118.9	-2.7278
0.00046416	-9131.4	-4.1995
0.00085232	-8949.3	-5.9769
0.0014248	-9077.7	-8.1023
0.0022237	-9074.8	-10.648
0.0032929	-8881.6	-13.453
0.0046784	-8874.8	-16.771
0.0064280	-8858.8	-20.376
0.0085909	-8797.6	-24.400
0.011218	-8788.3	-28.977
0.014361	-8744.9	-33.821
0.018075	-8588.3	-39.267
0.022413	-8576.4	-44.967
0.027432	-8541.2	-51.013
0.033190	-8569.0	-57.795
0.039745	-8451.9	-64.626
0.047156	-8417.1	-72.247
0.055484	-8333.9	-79.819
0.064790	-8196.1	-87.555
0.075138	-8123.5	-95.832
0.086591	-7969.9	-103.63
0.099213	-7640.7	-109.29
0.11307	-7428.7	-115.56
0.12823	-7273.2	-123.38
0.14475	-7057.6	-130.69
0.16271	-6901.1	-138.58
0.18218	-6712.8	-145.16
0.20322	-6593.6	-153.62
0.22591	-6538.3	-162.79
0.25031	-6307.3	-169.80
0.27650	-6346.3	-180.73
0.30455	-6263.0	-190.71
0.33454	-6222.9	-201.96
0.36653	-6164.3	-213.42
0.40060	-6120.7	-225.05
0.43683	-6097.6	-237.23
0.47530	-6051.5	-249.85
0.51608	-6029.8	-262.67
0.55924	-6026.9	-277.29
0.60487	-5986.6	-291.23
0.65304	-5979.4	-306.03
0.70384	-5965.3	-321.39
0.75734	-5956.9	-337.68
0.81363	-5945.0	-353.92
0.87278	-5948.3	-371.21
0.93488	-5938.2	-388.37
1.0000	-5931.0	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -6526.400012317572
