PathParameter	MeanPathLikelihood	MLContribution
0.0000	-15468	-0.032306
2.1715e-06	-14286	-0.28517
2.1888e-05	-14641	-0.87909
8.4561e-05	-13412	-1.7761
0.00022061	-12698	-3.0849
0.00046416	-12636	-4.6970
0.00085232	-11565	-6.4645
0.0014248	-11018	-8.6465
0.0022237	-10630	-11.196
0.0032929	-10313	-14.079
0.0046784	-10009	-17.378
0.0064280	-9855.9	-21.168
0.0085909	-9717.8	-25.348
0.011218	-9580.5	-29.918
0.014361	-9454.9	-34.994
0.018075	-9392.5	-40.488
0.022413	-9272.8	-46.078
0.027432	-9087.3	-51.934
0.033190	-8952.5	-58.296
0.039745	-8835.5	-65.090
0.047156	-8730.3	-72.061
0.055484	-8575.5	-79.004
0.064790	-8402.6	-85.931
0.075138	-8206.0	-93.027
0.086591	-8039.6	-100.33
0.099213	-7858.8	-107.86
0.11307	-7708.7	-115.76
0.12823	-7565.8	-123.08
0.14475	-7330.0	-129.65
0.16271	-7106.2	-136.76
0.18218	-6944.6	-144.33
0.20322	-6774.5	-152.13
0.22591	-6637.3	-160.91
0.25031	-6551.2	-170.33
0.27650	-6456.1	-180.01
0.30455	-6378.5	-190.39
0.33454	-6321.0	-201.16
0.36653	-6254.5	-212.36
0.40060	-6209.9	-224.25
0.43683	-6168.4	-236.49
0.47530	-6127.7	-249.21
0.51608	-6095.8	-262.48
0.55924	-6066.2	-276.19
0.60487	-6039.2	-290.56
0.65304	-6023.7	-305.37
0.70384	-5999.3	-320.42
0.75734	-5978.8	-336.26
0.81363	-5969.6	-352.49
0.87278	-5948.8	-368.91
0.93488	-5933.0	-386.09
1.0000	-5924.0	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -6505.646785619718

Inner area for path parameter in (2.1715e-06,0.93488) = -6505.6
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-10858	-0.033561
2.1715e-06	-9932.6	-0.27993
2.1888e-05	-9783.4	-0.89753
8.4561e-05	-9665.8	-1.7787
0.00022061	-9856.6	-3.0083
0.00046416	-10304	-4.7792
0.00085232	-9619.5	-6.4857
0.0014248	-9353.0	-8.6061
0.0022237	-9323.1	-11.154
0.0032929	-9348.6	-14.113
0.0046784	-9188.7	-17.342
0.0064280	-9107.5	-21.145
0.0085909	-9072.1	-25.353
0.011218	-8991.4	-29.902
0.014361	-8916.4	-34.894
0.018075	-8920.2	-40.507
0.022413	-8775.6	-46.246
0.027432	-8622.2	-51.933
0.033190	-8442.0	-58.280
0.039745	-8356.6	-64.980
0.047156	-8380.2	-72.216
0.055484	-8072.2	-78.721
0.064790	-7925.4	-85.989
0.075138	-7829.3	-92.914
0.086591	-7656.8	-100.53
0.099213	-7520.9	-107.80
0.11307	-7426.9	-115.99
0.12823	-7236.9	-123.43
0.14475	-7007.6	-130.09
0.16271	-6856.2	-136.92
0.18218	-6666.1	-144.14
0.20322	-6537.3	-152.51
0.22591	-6390.4	-160.48
0.25031	-6403.6	-170.66
0.27650	-6314.7	-180.20
0.30455	-6235.0	-190.47
0.33454	-6181.5	-201.27
0.36653	-6155.7	-212.37
0.40060	-6108.4	-224.17
0.43683	-6076.6	-236.61
0.47530	-6041.4	-249.31
0.51608	-6017.3	-262.69
0.55924	-6000.5	-276.29
0.60487	-5980.1	-290.54
0.65304	-5959.1	-305.51
0.70384	-5951.2	-320.55
0.75734	-5930.5	-336.13
0.81363	-5919.0	-352.65
0.87278	-5888.0	-368.89
0.93488	-5894.2	-385.96
1.0000	-5879.8	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -6507.723289278773
