PathParameter	MeanPathLikelihood	MLContribution
0.0000	-21114	-0.045192
2.1715e-06	-20508	-0.41714
2.1888e-05	-21806	-1.4196
8.4561e-05	-23494	-2.8730
0.00022061	-18740	-4.2259
0.00046416	-15964	-5.8251
0.00085232	-14050	-7.5191
0.0014248	-12218	-9.1232
0.0022237	-10624	-11.065
0.0032929	-10073	-13.728
0.0046784	-9742.7	-16.918
0.0064280	-9597.3	-20.532
0.0085909	-9388.6	-24.555
0.011218	-9305.5	-29.092
0.014361	-9204.3	-33.986
0.018075	-9100.0	-39.263
0.022413	-9000.6	-44.959
0.027432	-8913.5	-51.081
0.033190	-8829.9	-57.576
0.039745	-8738.4	-64.581
0.047156	-8690.0	-71.948
0.055484	-8588.7	-79.609
0.064790	-8519.5	-86.995
0.075138	-8294.8	-93.556
0.086591	-8043.1	-100.78
0.099213	-7925.2	-108.37
0.11307	-7717.1	-115.27
0.12823	-7492.9	-122.46
0.14475	-7327.5	-129.95
0.16271	-7141.6	-137.58
0.18218	-6992.7	-145.82
0.20322	-6867.3	-153.91
0.22591	-6701.0	-161.91
0.25031	-6569.3	-170.94
0.27650	-6484.7	-180.61
0.30455	-6392.8	-190.19
0.33454	-6293.0	-200.53
0.36653	-6243.1	-212.30
0.40060	-6218.2	-224.09
0.43683	-6151.6	-236.51
0.47530	-6145.5	-249.59
0.51608	-6096.3	-262.64
0.55924	-6072.9	-276.52
0.60487	-6047.2	-290.80
0.65304	-6025.5	-305.34
0.70384	-5996.1	-320.34
0.75734	-5979.1	-336.17
0.81363	-5966.0	-352.47
0.87278	-5951.7	-369.11
0.93488	-5936.5	-386.13
1.0000	-5921.7	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -6511.1912313269995

Inner area for path parameter in (2.1715e-06,0.93488) = -6511.1
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-13077	-0.045822
2.1715e-06	-12349	-0.40192
2.1888e-05	-12629	-1.3418
8.4561e-05	-13694	-3.1023
0.00022061	-12515	-4.3740
0.00046416	-9717.7	-5.8123
0.00085232	-9299.5	-7.4087
0.0014248	-9273.3	-9.0618
0.0022237	-9092.5	-10.952
0.0032929	-9036.7	-13.725
0.0046784	-8866.6	-16.873
0.0064280	-8973.1	-20.601
0.0085909	-8841.3	-24.515
0.011218	-8815.1	-29.076
0.014361	-8768.6	-33.979
0.018075	-8671.0	-39.283
0.022413	-8570.9	-44.921
0.027432	-8541.8	-51.089
0.033190	-8486.7	-57.638
0.039745	-8422.6	-64.496
0.047156	-8371.1	-72.052
0.055484	-8148.1	-79.296
0.064790	-8220.0	-87.638
0.075138	-7973.6	-94.132
0.086591	-7758.4	-100.62
0.099213	-7586.4	-108.80
0.11307	-7449.6	-115.89
0.12823	-7163.5	-122.10
0.14475	-7061.4	-130.30
0.16271	-6787.8	-136.65
0.18218	-6749.2	-145.86
0.20322	-6701.2	-154.84
0.22591	-6520.8	-162.61
0.25031	-6419.1	-171.02
0.27650	-6351.5	-181.01
0.30455	-6238.9	-190.73
0.33454	-6174.3	-200.57
0.36653	-6143.8	-211.96
0.40060	-6111.2	-224.39
0.43683	-6068.0	-236.04
0.47530	-6073.4	-250.10
0.51608	-6025.0	-262.62
0.55924	-5991.3	-276.51
0.60487	-5991.3	-290.89
0.65304	-5961.0	-305.58
0.70384	-5949.9	-320.39
0.75734	-5926.1	-336.07
0.81363	-5924.8	-352.49
0.87278	-5901.4	-369.15
0.93488	-5889.9	-386.15
1.0000	-5883.1	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -6515.173856669764
