PathParameter	MeanPathLikelihood	MLContribution
0.0000	-69025	-0.15158
2.1715e-06	-70585	-1.3460
2.1888e-05	-65951	-4.0349
8.4561e-05	-62809	-8.2907
0.00022061	-59065	-14.159
0.00046416	-57211	-21.803
0.00085232	-55128	-31.150
0.0014248	-53692	-42.562
0.0022237	-52868	-56.028
0.0032929	-51932	-71.288
0.0046784	-50969	-88.746
0.0064280	-50480	-107.79
0.0085909	-49188	-128.09
0.011218	-48328	-150.27
0.014361	-47279	-173.36
0.018075	-46093	-197.53
0.022413	-44969	-222.35
0.027432	-43626	-247.47
0.033190	-42336	-273.39
0.039745	-41084	-300.00
0.047156	-39877	-329.38
0.055484	-39226	-362.30
0.064790	-38633	-397.81
0.075138	-38255	-436.65
0.086591	-37998	-478.24
0.099213	-37781	-522.32
0.11307	-37608	-569.13
0.12823	-37487	-618.74
0.14475	-37394	-670.85
0.16271	-37303	-725.41
0.18218	-37225	-782.61
0.20322	-37163	-842.49
0.22591	-37110	-905.16
0.25031	-37077	-970.34
0.27650	-37024	-1038.1
0.30455	-36991	-1108.7
0.33454	-36962	-1182.1
0.36653	-36937	-1258.2
0.40060	-36915	-1337.2
0.43683	-36896	-1418.9
0.47530	-36877	-1503.4
0.51608	-36861	-1590.8
0.55924	-36849	-1681.1
0.60487	-36836	-1774.4
0.65304	-36828	-1870.5
0.70384	-36817	-1969.6
0.75734	-36809	-2071.6
0.81363	-36802	-2176.7
0.87278	-36796	-2284.7
0.93488	-36789	-2395.7
1.0000	-36784	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -37412.78844658334

Inner area for path parameter in (2.1715e-06,0.93488) = -37413
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-52703	-0.14969
2.1715e-06	-54976	-1.3734
2.1888e-05	-52604	-4.0189
8.4561e-05	-52824	-8.2884
0.00022061	-51919	-14.078
0.00046416	-51527	-21.839
0.00085232	-51418	-31.180
0.0014248	-50001	-42.424
0.0022237	-49720	-56.018
0.0032929	-49628	-71.328
0.0046784	-48977	-88.321
0.0064280	-48546	-108.10
0.0085909	-46956	-127.71
0.011218	-46511	-150.48
0.014361	-45663	-174.06
0.018075	-44194	-196.88
0.022413	-43183	-222.27
0.027432	-41985	-247.37
0.033190	-41095	-274.35
0.039745	-40169	-302.01
0.047156	-38972	-329.38
0.055484	-38393	-362.56
0.064790	-37979	-397.68
0.075138	-37643	-436.38
0.086591	-37603	-478.31
0.099213	-37441	-522.35
0.11307	-37258	-568.84
0.12823	-37221	-618.62
0.14475	-37194	-670.94
0.16271	-37118	-725.47
0.18218	-37066	-782.61
0.20322	-37018	-842.50
0.22591	-36974	-905.03
0.25031	-36963	-970.49
0.27650	-36915	-1038.0
0.30455	-36882	-1108.6
0.33454	-36870	-1182.1
0.36653	-36850	-1258.2
0.40060	-36844	-1337.1
0.43683	-36820	-1418.9
0.47530	-36816	-1503.4
0.51608	-36813	-1590.8
0.55924	-36800	-1681.1
0.60487	-36789	-1774.3
0.65304	-36785	-1870.6
0.70384	-36779	-1969.6
0.75734	-36776	-2071.6
0.81363	-36765	-2176.6
0.87278	-36764	-2284.7
0.93488	-36763	-2395.7
1.0000	-36759	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -37414.804314275
