PathParameter	MeanPathLikelihood	MLContribution
0.0000	-67244	-0.14364
2.1715e-06	-65047	-1.2674
2.1888e-05	-63513	-3.9018
8.4561e-05	-60998	-8.0802
0.00022061	-57782	-13.813
0.00046416	-55648	-21.235
0.00085232	-53766	-30.429
0.0014248	-52537	-41.618
0.0022237	-51661	-54.811
0.0032929	-50864	-69.993
0.0046784	-50168	-87.312
0.0064280	-49641	-106.61
0.0085909	-48940	-127.74
0.011218	-48308	-150.54
0.014361	-47472	-174.35
0.018075	-46432	-198.71
0.022413	-45174	-224.38
0.027432	-44232	-250.69
0.033190	-42846	-276.88
0.039745	-41639	-304.30
0.047156	-40481	-333.35
0.055484	-39575	-364.83
0.064790	-38827	-399.07
0.075138	-38304	-437.01
0.086591	-38011	-478.24
0.099213	-37768	-522.21
0.11307	-37605	-568.82
0.12823	-37448	-618.21
0.14475	-37369	-670.22
0.16271	-37258	-724.69
0.18218	-37196	-781.95
0.20322	-37130	-841.83
0.22591	-37085	-904.55
0.25031	-37051	-969.77
0.27650	-37005	-1037.6
0.30455	-36978	-1108.3
0.33454	-36945	-1181.6
0.36653	-36921	-1257.8
0.40060	-36904	-1336.7
0.43683	-36883	-1418.4
0.47530	-36865	-1502.9
0.51608	-36851	-1590.4
0.55924	-36839	-1680.8
0.60487	-36830	-1774.1
0.65304	-36821	-1870.2
0.70384	-36812	-1969.3
0.75734	-36804	-2071.3
0.81363	-36798	-2176.4
0.87278	-36793	-2284.5
0.93488	-36786	-2395.5
1.0000	-36781	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -37417.29561563877

Inner area for path parameter in (2.1715e-06,0.93488) = -37417
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-50398	-0.14572
2.1715e-06	-51845	-1.2701
2.1888e-05	-51062	-3.8908
8.4561e-05	-51549	-8.0493
0.00022061	-50389	-13.752
0.00046416	-50305	-21.198
0.00085232	-49800	-30.403
0.0014248	-49867	-41.578
0.0022237	-49178	-54.767
0.0032929	-48682	-69.944
0.0046784	-48435	-87.271
0.0064280	-48143	-106.85
0.0085909	-47160	-127.64
0.011218	-46888	-150.76
0.014361	-45986	-174.51
0.018075	-44971	-199.26
0.022413	-43890	-224.72
0.027432	-42881	-251.30
0.033190	-41757	-278.10
0.039745	-40655	-305.46
0.047156	-39445	-333.70
0.055484	-38573	-363.91
0.064790	-38202	-399.43
0.075138	-37811	-436.79
0.086591	-37610	-478.26
0.099213	-37396	-521.96
0.11307	-37300	-568.83
0.12823	-37192	-617.99
0.14475	-37177	-670.44
0.16271	-37076	-724.62
0.18218	-37033	-782.03
0.20322	-36965	-841.70
0.22591	-36938	-904.43
0.25031	-36947	-969.94
0.27650	-36903	-1037.6
0.30455	-36876	-1108.3
0.33454	-36857	-1181.5
0.36653	-36839	-1257.7
0.40060	-36828	-1336.7
0.43683	-36826	-1418.4
0.47530	-36809	-1502.9
0.51608	-36798	-1590.4
0.55924	-36794	-1680.8
0.60487	-36787	-1774.1
0.65304	-36785	-1870.2
0.70384	-36773	-1969.3
0.75734	-36771	-2071.3
0.81363	-36769	-2176.4
0.87278	-36763	-2284.5
0.93488	-36758	-2395.5
1.0000	-36757	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -37420.622952358855
