PathParameter	MeanPathLikelihood	MLContribution
0.0000	-76858	-0.16861
2.1715e-06	-78429	-1.5510
2.1888e-05	-78903	-4.8737
8.4561e-05	-76622	-10.246
0.00022061	-73988	-16.371
0.00046416	-60454	-22.642
0.00085232	-56209	-31.802
0.0014248	-54889	-43.167
0.0022237	-53187	-56.161
0.0032929	-51864	-71.311
0.0046784	-51072	-88.473
0.0064280	-50066	-107.41
0.0085909	-49256	-127.76
0.011218	-48008	-149.71
0.014361	-47247	-173.60
0.018075	-46251	-197.88
0.022413	-44975	-222.24
0.027432	-43577	-247.67
0.033190	-42454	-273.59
0.039745	-41027	-300.21
0.047156	-39991	-329.74
0.055484	-39199	-362.33
0.064790	-38667	-398.00
0.075138	-38258	-436.85
0.086591	-38031	-478.54
0.099213	-37796	-522.53
0.11307	-37624	-569.20
0.12823	-37480	-618.72
0.14475	-37399	-670.90
0.16271	-37303	-725.38
0.18218	-37221	-782.57
0.20322	-37163	-842.51
0.22591	-37113	-905.04
0.25031	-37065	-970.21
0.27650	-37026	-1037.9
0.30455	-36980	-1108.2
0.33454	-36940	-1181.1
0.36653	-36900	-1256.7
0.40060	-36862	-1334.9
0.43683	-36825	-1415.7
0.47530	-36783	-1499.4
0.51608	-36759	-1586.1
0.55924	-36734	-1675.7
0.60487	-36712	-1768.2
0.65304	-36698	-1863.6
0.70384	-36675	-1961.9
0.75734	-36664	-2063.4
0.81363	-36654	-2167.7
0.87278	-36640	-2274.9
0.93488	-36629	-2385.2
1.0000	-36622	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -37340.005101667055

Inner area for path parameter in (2.1715e-06,0.93488) = -37340
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-56587	-0.16646
2.1715e-06	-55872	-1.4996
2.1888e-05	-59167	-4.7209
8.4561e-05	-61219	-9.9677
0.00022061	-62250	-17.486
0.00046416	-52611	-22.795
0.00085232	-51217	-31.677
0.0014248	-50842	-43.316
0.0022237	-50138	-56.292
0.0032929	-49422	-71.223
0.0046784	-48498	-88.439
0.0064280	-48004	-107.43
0.0085909	-47326	-128.25
0.011218	-46305	-149.38
0.014361	-45224	-172.95
0.018075	-44803	-198.64
0.022413	-43602	-223.46
0.027432	-41982	-247.03
0.033190	-41071	-274.77
0.039745	-40117	-301.29
0.047156	-38949	-329.80
0.055484	-38017	-360.14
0.064790	-38157	-398.41
0.075138	-37684	-435.98
0.086591	-37618	-478.55
0.099213	-37410	-522.32
0.11307	-37329	-569.28
0.12823	-37222	-618.50
0.14475	-37179	-670.94
0.16271	-37114	-725.47
0.18218	-37076	-782.52
0.20322	-37001	-842.40
0.22591	-36994	-905.09
0.25031	-36936	-970.13
0.27650	-36919	-1038.0
0.30455	-36865	-1108.2
0.33454	-36836	-1181.1
0.36653	-36794	-1256.7
0.40060	-36758	-1334.8
0.43683	-36729	-1415.8
0.47530	-36700	-1499.4
0.51608	-36688	-1586.1
0.55924	-36670	-1675.7
0.60487	-36648	-1768.2
0.65304	-36636	-1863.8
0.70384	-36625	-1961.9
0.75734	-36621	-2063.3
0.81363	-36614	-2167.7
0.87278	-36594	-2274.9
0.93488	-36591	-2385.2
1.0000	-36589	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -37341.08283906303
