PathParameter	MeanPathLikelihood	MLContribution
0.0000	-1.0512e+05	-0.23226
2.1715e-06	-1.0880e+05	-2.1807
2.1888e-05	-1.1241e+05	-6.2818
8.4561e-05	-88050	-11.059
0.00022061	-74517	-16.414
0.00046416	-60277	-22.325
0.00085232	-54752	-30.842
0.0014248	-52995	-41.881
0.0022237	-51861	-55.004
0.0032929	-51026	-70.101
0.0046784	-50163	-87.147
0.0064280	-49458	-106.34
0.0085909	-48877	-127.11
0.011218	-47895	-148.99
0.014361	-46899	-172.13
0.018075	-45808	-196.90
0.022413	-44963	-223.88
0.027432	-44245	-250.03
0.033190	-42604	-275.00
0.039745	-41305	-301.99
0.047156	-40194	-331.74
0.055484	-39474	-364.79
0.064790	-38919	-399.14
0.075138	-38226	-436.30
0.086591	-37966	-477.59
0.099213	-37710	-521.78
0.11307	-37601	-568.78
0.12823	-37447	-618.02
0.14475	-37348	-670.20
0.16271	-37277	-724.81
0.18218	-37190	-782.05
0.20322	-37145	-842.00
0.22591	-37086	-904.42
0.25031	-37041	-969.58
0.27650	-37002	-1037.4
0.30455	-36964	-1107.9
0.33454	-36935	-1181.0
0.36653	-36898	-1256.5
0.40060	-36853	-1334.6
0.43683	-36815	-1415.6
0.47530	-36788	-1499.6
0.51608	-36764	-1586.4
0.55924	-36740	-1676.0
0.60487	-36720	-1768.5
0.65304	-36700	-1863.8
0.70384	-36681	-1962.2
0.75734	-36670	-2063.5
0.81363	-36654	-2167.8
0.87278	-36643	-2275.1
0.93488	-36632	-2385.4
1.0000	-36623	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -37338.18860057532

Inner area for path parameter in (2.1715e-06,0.93488) = -37338
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-60754	-0.22750
2.1715e-06	-69155	-2.0848
2.1888e-05	-67488	-6.5393
8.4561e-05	-54565	-10.988
0.00022061	-53998	-16.203
0.00046416	-51047	-22.044
0.00085232	-50069	-30.751
0.0014248	-49728	-41.846
0.0022237	-49185	-54.970
0.0032929	-48573	-70.117
0.0046784	-48263	-87.210
0.0064280	-47721	-106.32
0.0085909	-47139	-127.38
0.011218	-46082	-148.95
0.014361	-45501	-172.81
0.018075	-44491	-197.30
0.022413	-43706	-223.62
0.027432	-42717	-251.23
0.033190	-41305	-275.85
0.039745	-40384	-303.35
0.047156	-39237	-331.80
0.055484	-38779	-365.18
0.064790	-38342	-400.75
0.075138	-37653	-435.91
0.086591	-37595	-477.98
0.099213	-37429	-521.53
0.11307	-37265	-569.01
0.12823	-37179	-618.02
0.14475	-37153	-670.09
0.16271	-37099	-725.01
0.18218	-37015	-781.91
0.20322	-37007	-842.08
0.22591	-36960	-904.44
0.25031	-36937	-969.64
0.27650	-36893	-1037.4
0.30455	-36868	-1107.9
0.33454	-36831	-1181.1
0.36653	-36798	-1256.7
0.40060	-36738	-1334.5
0.43683	-36727	-1415.5
0.47530	-36699	-1499.5
0.51608	-36666	-1586.3
0.55924	-36679	-1676.0
0.60487	-36660	-1768.4
0.65304	-36644	-1863.9
0.70384	-36627	-1962.1
0.75734	-36612	-2063.6
0.81363	-36608	-2167.8
0.87278	-36598	-2275.0
0.93488	-36593	-2385.3
1.0000	-36593	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -37344.14728057106
