,Branch length stretch,county,date,numdate
A_sw_France_22-200113_2020_NE_22_2020.34444444444,2.0,22.0,2020.3444444444397,2020.3232935713486
A_sw_France_22-200171_2020_NE_22_2020.28888888889,9.99998694944072e-07,22.0,2020.2888888888897,2020.2674726260889
A_sw_France_22-200173_2020_E_22_2020.43888888889,0.9982628211617374,22.0,2020.4388888888898,2020.418189178773
A_sw_France_22-200175_2020_PSE_22_2020.43888888889,9.99998694944072e-07,22.0,2020.4388888888898,2020.4181891790483
A_sw_France_22-200176_2020_PSE_22_2020.43611111111,9.999986949439876e-07,22.0,2020.4361111111102,2020.4153981317695
A_sw_France_22-200177_2020_NE_22_2020.44444444444,0.9991274669137841,22.0,2020.4444444444398,2020.4237712733216
A_sw_France_22-200207_2020_PSE_22_2020.44722222222,1.0320892416397331,22.0,2020.4472222222198,2020.4265623206009
A_sw_France_22-200210_2020_NE_22_2020.51388888889,1.074001421717151,22.0,2020.5138888888898,2020.4935474552528
A_sw_France_22-200212_2020_NE_22_2020.51944444444,1.2654315630948663,22.0,2020.5194444444396,2020.499129549801
A_sw_France_22-200213_2020_NE_22_2020.525,1.000000429667548e-06,22.0,2020.525,2020.5047116446353
A_sw_France_22-200215_2020_NE_22_2020.53333333333,2.0,22.0,2020.5333333333301,2020.5130847861878
A_sw_France_22-200228_2020_N_22_2020.44444444444,9.999986949439876e-07,22.0,2020.4444444444398,2020.423771273597
A_sw_France_22-200229_2020_NE_22_2020.48333333333,1.7048798389880713,22.0,2020.4833333333302,2020.4628459352014
A_sw_France_22-200235_2020_NE_22_2020.54444444444,1.6434858623817852,22.0,2020.5444444444397,2020.5242489752943
A_sw_France_22-200236_2020_NE_22_2020.54444444444,2.0,22.0,2020.5444444444397,2020.5242489752943
A_sw_France_22-200237_2020_NE_22_2020.55,1.6672568321794645,22.0,2020.55,2020.5298310698531
A_sw_France_22-200239_2020_NE_22_2020.54722222222,2.0,22.0,2020.54722222222,2020.5270400225738
A_sw_France_22-200241_2020_NE_22_2020.54722222222,1.6550418251349244,22.0,2020.54722222222,2020.5270400225738
A_sw_France_22-200242_2020_NE_22_2020.56111111111,0.9269602810351019,22.0,2020.5611111111102,2020.5409952589603
A_sw_France_22-200249_2020_NE_22_2020.57222222222,0.7401965288931762,22.0,2020.5722222222198,2020.552159448067
